feature,mean_abs_shap
Previous_Year_Claim_Amount,1.3797349
Utilization_Score,0.6442736
Risk_Index,0.3920579
Age,0.28986067
Pharmacy_to_Claim_Ratio,0.28531727
Chronic_Conditions_Count,0.25982678
Chronic_Burden_Score,0.2441727
Claims_Per_Visit,0.18843381
BMI,0.1773835
Avg_to_Total_Claim_Ratio,0.13804057
Cost_Per_Condition,0.11590431
Average_Claim_Size,0.08776719
Gender_Male,0.080143675
ER_to_Hospital_Ratio,0.05387859
Diabetes,0.044065583
Number_of_Claims,0.04312324
Hospital_Visits,0.040308416
Region_Central,0.032502737
Smoking_Risk,0.031812534
Region_East,0.031273194
Hypertension,0.03010747
Pharmacy_Spend,0.021293294
Region_South,0.02064887
Region_North,0.015801763
Emergency_Visits,0.014503545
Region_West,0.011644098
Heart_Disease,0.003913208
